loan_id,no_of_dependents,cibil_score,education_Graduate,self_employed_Yes,loan_status_Approved,debt_to_income,asset_combined
1,2,1.0327924065085647,1,0,1,-0.44119984209625157,1.9180961671916563
2,0,-1.0610511817096373,0,1,0,-0.15937048323883346,-1.2790724185471336
3,3,-0.5448404355838201,1,0,0,-0.6828097487849566,2.294615486541743
4,3,-0.7710451445603018,1,0,0,0.08142401135096662,1.5439314117283176
5,5,-1.2640554077141721,0,1,0,-0.7823940618548526,1.5470788861329483
6,0,-1.6294630145223348,1,1,0,-0.3867875059069779,0.23583915013308837
7,5,0.45278033220989383,1,0,1,1.2856600798058124,2.8192629946070635
8,2,-1.2640554077141721,1,1,0,-0.7620607971828944,0.44303014437327715
9,0,1.0559928894805115,1,1,1,-0.7472148208247263,-2.3253889220765833
10,5,-1.2292546832562519,0,0,0,-0.11183702456656124,-1.936509579508995
11,4,-0.307035485121365,1,1,1,3.74975086844889,-0.6297028774941913
12,2,-0.3592365718082454,0,1,0,-0.6200296395421926,1.1839521100909782
13,3,-1.6758639804662283,0,1,0,-0.7284099174377133,0.2680325907374782
14,2,0.4585804529528806,1,1,1,-0.4720295130184378,1.8034161514195226
15,1,-0.7594449030743283,0,0,0,0.5355875067162453,-1.8427946322270339
16,5,1.125594338396352,0,0,1,-0.5211558758531876,-0.2536805977176423
17,2,0.36577852106509323,1,1,1,0.9138849783614188,-2.472891957281072
18,4,1.0443926479945382,0,1,1,-0.5114587660466574,-1.1658133000319928
19,2,0.789187335303123,1,0,1,-0.13547506249411959,-1.785325076874923
20,5,0.3019771928922394,1,0,1,-0.6077534121079899,0.6985109782080587
21,2,-1.6526634974942815,1,0,0,-0.2812711035687385,0.14444322558322636
22,4,-0.4056375377521391,1,0,0,-0.7137118320317721,0.9017521833303584
23,4,-1.6758639804662283,1,1,0,-0.5412180871407809,0.8882167634621542
24,0,-0.2838350021494182,0,1,1,2.4182772493224554,-2.525688401093788
25,0,-1.6004624108074013,0,0,0,-0.7785563264697479,-0.44839061060668045
26,5,-0.4984394696399264,0,0,0,-0.7077851846906669,-1.0677028159370718
27,4,0.5571825055836546,1,0,1,-0.37595812387516164,1.8470908818500233
28,4,0.3599784003221065,0,1,1,0.3706322138477108,-1.2788150145510564
29,5,-1.5308609618915607,0,1,0,0.340783160852452,1.8799021330886496
30,3,1.450401100003608,0,1,1,-0.21440922485935907,3.3928744593070106
31,2,-1.664263738980255,0,0,0,-0.5525563537913608,2.2437392483682363
32,2,-1.3742577018309194,1,0,0,-0.21220982095444538,0.26952944849145494
33,1,-0.9508488875928898,0,1,0,-0.5905072925996183,-2.4012386942727115
34,5,1.3343986851438736,0,1,1,2.1914244465584893,-0.012648140096878858
